"","Rank","Study.Results","Gender","Phases","Funded.Bys","Start.Date","Primary.Completion.Date","Completion.Date","Results.First.Posted","DaysInterval","Country","Multicentric"
"2937",3042,"No Results Available","All","Phase 1","Industry","November 2009",2011-10-01,NA,NA,NA," United States","0"
"2938",3043,"No Results Available","All","Phase 2","Other","May 2012",2015-08-01,2015-08-01,NA,NA," Netherlands","0"
"2939",3044,"No Results Available","All","Phase 1","Other","December 2015",2017-05-01,2017-05-01,NA,NA," Netherlands","0"
"2940",3045,"No Results Available","All","Phase 2","Industry","October 2008",2012-05-01,2012-05-01,NA,NA,"Multicentric","1"
"2941",3046,"No Results Available","All","Phase 1","Industry","January 2009",2014-12-01,2014-12-01,NA,NA,"Multicentric","1"
"2942",3047,"No Results Available","All","Phase 1","NIH","January 10, 2011",2017-10-25,2017-10-25,NA,NA,"Multicentric","1"
"2943",3048,"No Results Available","All","Phase 1","Other","March 2013",2016-05-01,2016-05-01,NA,NA," United States","0"
"2944",3049,"No Results Available","All","Phase 1","Industry","November 2008",2011-09-01,2011-09-01,NA,NA,"Multicentric","1"
"2945",3050,"No Results Available","All","Phase 1","NIH","March 7, 2008",2009-06-30,2011-06-16,NA,NA," United States","0"
"2946",3051,"No Results Available","All","Phase 1","Industry|Other","July 2008",2015-09-01,2015-09-01,NA,NA," United States","0"
"2947",3052,"Has Results","All","Phase 2","Industry","August 2013",2015-12-01,2015-12-01,2017-03-20,475,"Multicentric","1"
"2948",3053,"No Results Available","Female","Phase 1","Industry","December 2010",2011-09-01,2011-09-01,NA,NA,"Multicentric","1"
"2949",3055,"No Results Available","All","Phase 1","Industry|Other","September 2010",2017-05-01,2017-05-01,NA,NA,"Multicentric","1"
"2950",3056,"No Results Available","All","Phase 2","Industry|Other","April 2009",2013-05-01,2013-05-01,NA,NA,"Multicentric","1"
"2951",3057,"No Results Available","All","Phase 1","Industry","August 2009",2010-12-01,2010-12-01,NA,NA," Japan","0"
"2952",3058,"No Results Available","All","Phase 3","Other","March 2009",2010-12-01,2011-01-01,NA,NA," France","0"
"2953",3059,"No Results Available","All","Phase 3","Industry","November 2011",2012-07-01,2012-07-01,NA,NA," Czech Republic","0"
"2954",3060,"No Results Available","All","Phase 1|Phase 2","Other","January 2011",2011-05-01,2011-09-01,NA,NA," Norway","0"
"2955",3061,"No Results Available","All","Phase 2","Other","August 2008",2011-10-01,2011-11-01,NA,NA," Germany","0"
"2956",3062,"Has Results","All","Phase 4","Industry","June 2008",2010-08-01,2010-08-01,2012-03-13,590,"Multicentric","1"
"2957",3063,"No Results Available","All","Phase 1","Industry","January 2016",2017-05-10,2017-05-19,NA,NA,"Multicentric","1"
"2958",3064,"No Results Available","All","Phase 1","Other","July 2010",2014-08-01,2014-08-01,NA,NA," United States","0"
"2959",3065,"No Results Available","All","Phase 1","Industry","October 2010",2012-11-01,2012-11-01,NA,NA,"Multicentric","1"
"2960",3066,"No Results Available","Female","Phase 2","Industry","December 2014",2017-01-01,2017-01-01,NA,NA,"Multicentric","1"
"2961",3067,"No Results Available","All","Phase 1","Industry","January 28, 2016",2016-12-21,2017-07-06,NA,NA," United Kingdom","0"
"2962",3068,"No Results Available","Female","Phase 2","Industry","July 2008",2010-07-01,2010-08-01,NA,NA,"Multicentric","1"
"2963",3069,"No Results Available","All","Phase 1","Other","October 2013",2016-02-01,2016-09-01,NA,NA,"Multicentric","1"
"2964",3070,"Has Results","All","Phase 2","Industry","March 2009",2011-04-01,NA,2013-11-13,957,"Multicentric","1"
"2965",3071,"No Results Available","All","Phase 1","Industry","August 2010",2016-06-01,2016-12-01,NA,NA,"Multicentric","1"
"2966",3072,"No Results Available","All","Phase 1","Industry","April 2008",2010-06-01,2010-06-01,NA,NA,"Multicentric","1"
"2967",3073,"No Results Available","All","Phase 1|Phase 2","Industry","March 2009",2011-04-01,2011-04-01,NA,NA,"Multicentric","1"
"2968",3074,"No Results Available","All","Phase 1","Industry|Other","February 15, 2011",2017-03-29,2017-03-29,NA,NA," United States","0"
"2969",3075,"Has Results","All","Phase 2","NIH","April 13, 2012",2016-04-09,2016-08-01,2017-03-23,348," United States","0"
"2970",3076,"Has Results","Male","Phase 2","NIH","December 2010",2015-06-01,2017-08-23,2016-10-06,493,"Multicentric","1"
"2971",3077,"No Results Available","All","Phase 1","Industry","June 21, 2013",2016-09-23,2016-09-23,NA,NA,"Multicentric","1"
"2972",3078,"Has Results","All","Phase 1","Industry","November 30, 2009",2015-10-31,2015-10-31,2017-04-17,534," United States","0"
"2973",3079,"No Results Available","All","Phase 1","Industry","December 2012",2013-06-01,2013-06-01,NA,NA," China","0"
"2974",3080,"Has Results","All","Phase 3","Industry","July 2011",2013-11-01,2015-02-01,2017-07-11,1348,"Multicentric","1"
"2975",3081,"Has Results","All","Phase 3","Industry","July 2011",2014-01-01,2015-02-01,2017-07-11,1287,"Multicentric","1"
"2976",3082,"Has Results","Female","Phase 2","Industry","August 2008",2012-05-01,2015-08-01,2014-06-18,778,"Multicentric","1"
"2977",3083,"No Results Available","All","Phase 2","Other","July 2009",2011-08-01,2011-12-01,NA,NA,"Multicentric","1"
"2978",3084,"No Results Available","All","Phase 1","Industry","September 27, 2016",2017-06-01,2017-06-30,NA,NA," Hungary","0"
"2979",3085,"No Results Available","All","Phase 1","Industry","April 2011",2016-02-01,2016-02-01,NA,NA,"Multicentric","1"
"2980",3086,"Has Results","Female","Phase 2","Industry","April 16, 2010",2014-08-12,2017-07-19,2018-06-04,1392,"Multicentric","1"
"2981",3087,"No Results Available","All","Phase 1","NIH","June 11, 2013",2015-09-08,2015-09-08,NA,NA," United States","0"
"2982",3088,"No Results Available","All","Phase 1","Industry","August 2009",2016-04-01,2016-04-01,NA,NA," Japan","0"
"2983",3089,"No Results Available","All","Phase 1","Industry","March 2010",2014-06-01,2014-06-01,NA,NA,"Multicentric","1"
"2984",3090,"No Results Available","All","Phase 1|Phase 2","Other","February 2008",2010-01-01,2016-03-16,NA,NA," United Kingdom","0"
"2985",3091,"No Results Available","All","Phase 1","Industry","August 2008",2010-07-01,2010-07-01,NA,NA,"Multicentric","1"
"2986",3092,"No Results Available","All","Phase 1","Industry","May 2010",2013-07-01,2013-08-01,NA,NA,"Multicentric","1"
"2987",3093,"No Results Available","All","Phase 1","Industry","September 2013",2014-04-01,2014-04-01,NA,NA,"Multicentric","1"
"2988",3094,"No Results Available","All","Phase 1","Industry","May 2012",2013-07-01,2013-07-01,NA,NA," Japan","0"
"2989",3095,"No Results Available","All","Phase 1","Industry","August 2013",2014-06-01,2014-06-01,NA,NA,"Multicentric","1"
"2990",3096,"No Results Available","All","Phase 1","Industry","November 5, 2013",2017-07-19,2017-07-19,NA,NA,"Multicentric","1"
"2991",3097,"No Results Available","All","Phase 2","Other","November 2008",2010-12-01,2011-08-01,NA,NA," Denmark","0"
"2992",3098,"No Results Available","All","Phase 1","Industry","November 2009",2010-03-01,2010-03-01,NA,NA," Hungary","0"
"2993",3099,"No Results Available","All","Phase 1","Industry","June 2009",2012-05-01,2014-06-01,NA,NA," Taiwan","0"
"2994",3100,"No Results Available","All","Phase 1","Industry","May 2011",2013-06-01,2016-07-01,NA,NA," Japan","0"
"2995",3101,"No Results Available","All","Phase 1","Industry","January 2011",2015-08-01,2015-08-01,NA,NA," United States","0"
"2996",3102,"No Results Available","All","Phase 1","Industry","January 2012",2012-10-01,2013-02-01,NA,NA," United Kingdom","0"
"2997",3103,"No Results Available","All","Phase 1","Industry","May 2014",2017-05-01,2017-05-01,NA,NA,"Multicentric","1"
"2998",3104,"No Results Available","All","Phase 1","Industry","March 2009",2012-09-01,2012-09-01,NA,NA,"Multicentric","1"
"2999",3105,"No Results Available","All","Phase 1","Industry","September 2, 2013",2014-08-26,2014-08-26,NA,NA,"Multicentric","1"
"3000",3106,"No Results Available","Female","Phase 2","NIH|Other","November 2013",2016-05-01,2016-05-01,NA,NA," United States","0"
"3001",3107,"No Results Available","Female","Phase 2","Other","June 2008",2011-11-01,2012-01-01,NA,NA,"Multicentric","1"
"3002",3108,"Has Results","All","Phase 1","Industry","October 2011",2013-11-01,2014-06-01,2016-09-08,1042,"Multicentric","1"
"3003",3109,"No Results Available","All","Phase 1","Industry","June 2012",2016-03-01,2016-03-01,NA,NA,"Multicentric","1"
"3004",3110,"No Results Available","All","Phase 1","Industry","September 2008",2010-12-01,2013-12-01,NA,NA,"Multicentric","1"
"3005",3111,"Has Results","All","Phase 1","Industry","March 2, 2009",2012-01-19,2012-01-19,2017-04-11,1909,"Multicentric","1"
"3006",3112,"No Results Available","All","Phase 1","Industry|Other","February 2010",2012-02-01,2012-02-01,NA,NA," United States","0"
"3007",3113,"No Results Available","All","Phase 1","Industry","July 2015",2016-02-01,2016-04-01,NA,NA,"Multicentric","1"
"3008",3114,"No Results Available","All","Phase 1|Phase 2","Other","May 2015",2016-02-01,2016-02-01,NA,NA," China","0"
"3009",3115,"No Results Available","All","Phase 1","Industry","May 2008",2012-11-01,2012-11-01,NA,NA,"Multicentric","1"
"3010",3116,"No Results Available","All","Phase 1","Industry","October 2012",2014-11-01,2014-11-01,NA,NA,"Multicentric","1"
"3011",3117,"No Results Available","All","Phase 1","Industry","June 2012",2013-03-01,2013-03-01,NA,NA,"Multicentric","1"
"3012",3118,"No Results Available","All","Phase 1","Industry","December 2011",2016-02-01,2016-02-01,NA,NA,"Multicentric","1"
"3013",3119,"No Results Available","All","Phase 2","Other","March 2008",2010-02-01,2013-12-01,NA,NA," France","0"
"3014",3120,"No Results Available","All","Phase 1","Industry","November 2011",2016-01-01,2016-01-01,NA,NA,"Multicentric","1"
"3015",3121,"No Results Available","Female","Phase 3","Other","March 2008",2010-12-01,2011-04-01,NA,NA," Australia","0"
"3016",3122,"No Results Available","All","Phase 1","Industry","June 2008",2011-06-01,2011-06-01,NA,NA,"Multicentric","1"
"3017",3123,"No Results Available","Female","Phase 2","Other","September 2009",2011-10-01,2011-10-01,NA,NA,"Multicentric","1"
"3018",3124,"No Results Available","All","Phase 1","Industry","July 2010",2013-11-01,2013-11-01,NA,NA,"Multicentric","1"
"3019",3125,"Has Results","All","Phase 4","Industry","June 2009",2012-03-01,2013-06-01,2017-02-24,1821,"Multicentric","1"
"3020",3126,"No Results Available","All","Phase 2","Industry","March 2011",2013-04-01,2014-07-01,NA,NA,"Multicentric","1"
"3021",3128,"No Results Available","All","Phase 2","Industry","April 2009",2011-12-01,2012-02-01,NA,NA,"Multicentric","1"
"3022",3129,"No Results Available","All","Phase 1","Industry","October 2010",2013-01-01,2013-03-01,NA,NA,"Multicentric","1"
"3023",3131,"No Results Available","All","Phase 2","Other","March 2008",2009-09-01,2011-09-01,NA,NA," Republic of","0"
"3024",3132,"No Results Available","All","Phase 2","Other","February 2013",2016-11-11,2018-07-12,NA,NA," United States","0"
"3025",3133,"No Results Available","All","Phase 1","Industry","May 2011",2012-06-01,2012-06-01,NA,NA,"Multicentric","1"
"3026",3134,"No Results Available","All","Phase 1","Industry","January 2010",2011-11-01,2011-11-01,NA,NA,"Multicentric","1"
"3027",3135,"No Results Available","All","Phase 1","Industry","February 2010",2012-06-01,2012-06-01,NA,NA,"Multicentric","1"
"3028",3136,"No Results Available","All","Phase 1","Industry","September 8, 2016",2017-06-19,2017-06-19,NA,NA," Hungary","0"
"3029",3137,"No Results Available","All","Phase 1","Industry","August 2010",2012-11-01,2012-12-01,NA,NA," United Kingdom","0"
"3030",3138,"No Results Available","All","Phase 1","Industry|Other","March 2012",2015-02-01,2015-02-01,NA,NA,"Multicentric","1"
"3031",3139,"No Results Available","Female","Phase 1","Industry","July 2014",2015-04-01,2015-08-01,NA,NA,"Multicentric","1"
"3032",3140,"Has Results","All","Phase 1","Industry","January 2009",2012-02-01,2012-02-01,2018-10-16,2449,"Multicentric","1"
"3033",3142,"Has Results","All","Phase 1","Industry","July 2008",2010-07-01,NA,2013-10-16,1203,"Multicentric","1"
"3034",3143,"No Results Available","All","Phase 1","Industry","June 2008",2011-01-01,2011-05-01,NA,NA,"Multicentric","1"
"3035",3144,"No Results Available","All","Phase 1","Other","January 20, 2015",2017-03-15,2017-06-20,NA,NA," Republic of","0"
"3036",3145,"No Results Available","All","Phase 2","Other","November 2009",2010-12-01,2011-08-01,NA,NA," Republic of","0"
"3037",3146,"No Results Available","All","Phase 2","Other","January 2009",2014-05-01,2014-05-01,NA,NA," Israel","0"
"3038",3147,"No Results Available","All","Phase 1","Industry","March 2010",2015-02-01,2015-02-01,NA,NA,"Multicentric","1"
"3039",3148,"No Results Available","All","Phase 1","Industry","July 2010",2015-12-01,2015-12-01,NA,NA," United States","0"
"3040",3149,"No Results Available","All","Phase 1","Industry|Other","March 2014",2016-09-01,2016-09-01,NA,NA," China","0"
"3041",3150,"No Results Available","All","Phase 1","Industry","July 2008",2011-05-01,2011-06-01,NA,NA,"Multicentric","1"
"3042",3151,"No Results Available","All","Phase 1","Other","September 2009",2012-07-01,2013-08-01,NA,NA," Italy","0"
"3043",3152,"No Results Available","All","Phase 2","Other","December 2008",2009-12-01,2010-12-01,NA,NA," China","0"
"3044",3153,"No Results Available","All","Phase 1","Industry","January 2009",2010-01-01,2010-04-01,NA,NA," United States","0"
"3045",3154,"No Results Available","All","Phase 2","Other","September 2016",2017-08-09,2018-01-01,NA,NA," Republic of","0"
"3046",3155,"No Results Available","All","Phase 1","Industry","October 2009",2011-07-01,2011-07-01,NA,NA,"Multicentric","1"
"3047",3156,"No Results Available","All","Phase 2","Other","May 2013",2017-03-01,2017-03-01,NA,NA," Japan","0"
"3048",3157,"No Results Available","All","Phase 2","Industry|Other","August 2010",2016-05-01,2017-04-01,NA,NA,"Multicentric","1"
"3049",3158,"No Results Available","All","Phase 1","Industry","May 2012",2013-08-01,2014-02-01,NA,NA,"Multicentric","1"
"3050",3159,"No Results Available","All","Phase 1","Industry","July 2011",2015-06-01,2015-06-01,NA,NA,"Multicentric","1"
"3051",3161,"No Results Available","All","Phase 1","Industry","September 2009",2011-08-01,2011-08-01,NA,NA,"Multicentric","1"
"3052",3162,"Has Results","All","Phase 2","Industry","November 26, 2012",2016-03-29,2016-03-29,2017-05-08,405,"Multicentric","1"
"3053",3163,"No Results Available","All","Phase 1","Industry","August 11, 2008",2009-06-24,2009-06-24,NA,NA,"Multicentric","1"
"3054",3164,"No Results Available","All","Phase 1","Industry","June 2008",2011-06-01,2011-06-01,NA,NA,"Multicentric","1"
"3055",3165,"No Results Available","All","Phase 1","Other","June 2014",2015-11-01,2015-11-01,NA,NA," United States","0"
"3056",3166,"No Results Available","All","Phase 1","Industry","April 2008",2011-05-01,NA,NA,NA," Sweden","0"
"3057",3169,"No Results Available","All","Phase 1","Industry","July 2012",2014-06-01,2015-04-01,NA,NA,"Multicentric","1"
"3058",3171,"No Results Available","All","Phase 1","NIH","October 2009",2016-05-01,NA,NA,NA,"Multicentric","1"
"3059",3172,"Has Results","All","Phase 3","Other","June 2010",2013-03-01,2013-03-01,2015-07-28,879," Republic of","0"
"3060",3173,"No Results Available","All","Phase 1","Industry","August 2008",2010-05-01,2010-05-01,NA,NA,"Multicentric","1"
"3061",3174,"Has Results","Male","Phase 2","NIH","November 2011",2014-04-01,2014-04-01,2015-05-15,409,"Multicentric","1"
"3062",3175,"No Results Available","All","Phase 1","Other","October 2008",2012-11-01,2012-11-01,NA,NA," United States","0"
"3063",3176,"No Results Available","All","Phase 1","Industry","March 25, 2015",2017-05-23,2017-05-23,NA,NA,"Multicentric","1"
"3064",3177,"No Results Available","All","Phase 1","Industry","December 2008",2011-06-01,2011-06-01,NA,NA,"Multicentric","1"
"3065",3178,"No Results Available","All","Phase 1","Industry","October 2010",2012-09-01,2012-09-01,NA,NA,"Multicentric","1"
"3066",3179,"No Results Available","All","Phase 1","Industry","March 2013",2016-08-01,2016-08-01,NA,NA,"Multicentric","1"
"3067",3180,"No Results Available","All","Phase 1","Industry","August 2008",2009-10-01,2010-04-01,NA,NA,"Multicentric","1"
"3068",3181,"No Results Available","All","Phase 1","Industry","October 2009",2013-06-01,2013-06-01,NA,NA,"Multicentric","1"
"3069",3182,"No Results Available","All","Phase 1","Other","July 2011",2017-06-20,2017-06-20,NA,NA,"Multicentric","1"
"3070",3183,"No Results Available","All","Phase 1","Industry","July 2009",2012-03-01,2012-03-01,NA,NA,"Multicentric","1"
"3071",3184,"No Results Available","All","Phase 2","Other","September 2013",2017-10-01,2017-10-01,NA,NA," United States","0"
"3072",3185,"No Results Available","All","Phase 1","Industry","April 2010",2014-11-01,2014-11-01,NA,NA,"Multicentric","1"
"3073",3186,"No Results Available","All","Phase 1","Industry","October 2011",2017-01-01,2017-01-01,NA,NA,"Multicentric","1"
"3074",3187,"No Results Available","All","Phase 1","Industry","April 2010",2014-08-01,2014-08-01,NA,NA,"Multicentric","1"
"3075",3188,"No Results Available","All","Phase 1","Industry","July 2010",2011-03-01,2011-03-01,NA,NA,"Multicentric","1"
"3076",3189,"No Results Available","All","Phase 2","Industry","December 2014",2015-11-01,2015-11-01,NA,NA," Canada","0"
"3077",3190,"No Results Available","All","Phase 1","Industry","April 2010",2011-08-01,2011-08-01,NA,NA,"Multicentric","1"
"3078",3191,"No Results Available","All","Phase 1","Industry|Other","December 2012",2016-03-01,2016-08-01,NA,NA,"Multicentric","1"
"3079",3192,"No Results Available","All","Phase 1","Industry","February 2012",2016-04-01,2016-04-01,NA,NA,"Multicentric","1"
"3080",3193,"No Results Available","Female","Phase 2","Other","August 2010",2013-01-01,2013-01-01,NA,NA," United States","0"
"3081",3194,"No Results Available","All","Phase 1","Industry","June 2009",2013-03-01,2013-03-01,NA,NA,"Multicentric","1"
"3082",3195,"Has Results","All","Phase 2","NIH|Other","March 2010",2012-12-01,2012-12-01,2014-05-28,543,"Multicentric","1"
"3083",3196,"Has Results","All","Phase 2","NIH","July 2009",2015-01-01,2015-01-01,2016-01-15,379,"Multicentric","1"
"3084",3197,"No Results Available","All","Phase 1","Industry","June 2012",2017-02-01,2017-02-01,NA,NA," Japan","0"
"3085",3198,"Has Results","All","Phase 2","Industry","October 2008",2012-09-01,2012-09-01,2013-11-28,453,"Multicentric","1"
"3086",3199,"No Results Available","All","Phase 1","Industry","September 2011",2014-08-01,2014-08-01,NA,NA,"Multicentric","1"
"3087",3200,"No Results Available","All","Phase 1","Other","October 2008",2012-09-01,2012-09-01,NA,NA," United States","0"
"3088",3201,"Has Results","All","Phase 2","NIH","March 2011",2014-03-01,2014-12-01,2015-06-25,481,"Multicentric","1"
"3089",3202,"No Results Available","All","Phase 1","Industry","June 2010",2014-08-01,2014-08-01,NA,NA,"Multicentric","1"
"3090",3203,"Has Results","All","Phase 2","NIH|Other","August 2012",2014-02-01,2014-02-01,2015-01-26,359," United States","0"
"3091",3204,"No Results Available","All","Phase 1","Industry","January 2008",2009-01-01,2009-01-01,NA,NA,"Multicentric","1"
"3092",3205,"No Results Available","All","Phase 1","NIH","May 2012",2015-09-01,2015-10-01,NA,NA,"Multicentric","1"
"3093",3206,"No Results Available","All","Phase 1","NIH","October 2012",2015-05-01,2015-05-01,NA,NA,"Multicentric","1"
"3094",3207,"No Results Available","All","Phase 1","NIH","October 2012",2012-12-01,2014-05-01,NA,NA,"Multicentric","1"
"3095",3208,"No Results Available","All","Phase 1|Phase 2","Other","June 2009",2011-12-01,2011-12-01,NA,NA," Switzerland","0"
"3096",3209,"Has Results","All","Phase 1","Industry","July 2009",2010-04-01,2010-04-01,2018-02-26,2888,"Multicentric","1"
"3097",3211,"No Results Available","All","Phase 1","Industry","December 22, 2014",2017-05-23,2017-09-08,NA,NA,"Multicentric","1"
"3098",3212,"Has Results","All","Phase 1","Industry","April 2012",2013-10-01,2013-10-01,2014-10-02,366," Finland","0"
"3099",3213,"No Results Available","All","Phase 1","Industry","January 16, 2015",2016-12-14,2017-08-23,NA,NA,"Multicentric","1"
"3100",3214,"No Results Available","All","Phase 1","Industry","November 2011",2014-05-01,2014-05-01,NA,NA,"Multicentric","1"
"3101",3215,"Has Results","All","Phase 2","Industry","February 2009",2010-02-01,2010-02-01,2011-05-11,464,"Multicentric","1"
"3102",3220,"Has Results","All","Phase 1","Industry","June 10, 2015",2016-07-27,2017-04-28,2018-09-13,778,"Multicentric","1"
"3103",3221,"No Results Available","All","Phase 1","Industry|Other","January 2010",2017-03-01,2017-03-01,NA,NA," United States","0"
"3104",3222,"No Results Available","All","Phase 1","NIH","September 2010",2012-07-01,2014-12-01,NA,NA," United States","0"
"3105",3223,"No Results Available","All","Phase 1","Other","December 2011",2015-12-01,2015-12-01,NA,NA," Canada","0"
"3106",3224,"No Results Available","Female","Phase 2","Other","November 2008",2011-12-01,2011-12-01,NA,NA," Canada","0"
"3107",3225,"No Results Available","All","Phase 1","Industry","November 2008",2015-11-01,2015-11-01,NA,NA," United Kingdom","0"
"3108",3226,"No Results Available","All","Phase 1","Industry","November 28, 2012",2017-06-26,2017-06-26,NA,NA,"Multicentric","1"
"3109",3227,"No Results Available","All","Phase 1","Industry","November 2009",2010-08-01,2011-01-01,NA,NA,"Multicentric","1"
"3110",3228,"No Results Available","All","Phase 1","NIH|Other","October 2013",2015-12-01,2015-12-01,NA,NA," United States","0"
"3111",3229,"No Results Available","All","Phase 1","Industry","January 28, 2014",2016-09-30,2016-09-30,NA,NA," United States","0"
"3112",3230,"No Results Available","Female","Phase 2","Other","September 2011",2013-11-01,2014-05-01,NA,NA," Japan","0"
"3113",3231,"No Results Available","All","Phase 1","Industry","October 16, 2013",2017-10-11,2017-10-11,NA,NA,"Multicentric","1"
"3114",3232,"No Results Available","All","Phase 1","Industry","January 2008",2010-07-01,2014-01-01,NA,NA,"Multicentric","1"
"3115",3233,"No Results Available","All","Phase 1","Industry","November 2010",2012-11-01,2012-11-01,NA,NA,"Multicentric","1"
"3116",3234,"Has Results","All","Phase 2","NIH","May 2011",2012-11-01,2012-11-01,2013-03-21,140," United States","0"
"3117",3235,"No Results Available","All","Phase 1","Industry","April 1, 2014",2017-06-05,2017-06-05,NA,NA,"Multicentric","1"
"3118",3236,"Has Results","All","Phase 3","Industry","July 2011",2013-05-01,2014-06-01,2016-03-03,1037,"Multicentric","1"
"3119",3237,"No Results Available","All","Phase 1","Industry","September 2009",2011-12-01,2012-04-01,NA,NA," United States","0"
"3120",3238,"No Results Available","All","Phase 1","Industry","June 2009",2012-07-01,2012-09-01,NA,NA," Germany","0"
"3121",3239,"Has Results","All","Phase 1","Industry","November 2010",2012-03-01,2012-03-01,2015-06-29,1215,"Multicentric","1"
"3122",3240,"Has Results","All","Phase 2","Industry","July 2010",2012-09-01,2012-09-01,2013-12-10,465,"Multicentric","1"
"3123",3241,"No Results Available","All","Phase 3","Industry","July 2011",2013-05-01,2014-06-01,NA,NA,"Multicentric","1"
"3124",3242,"No Results Available","All","Phase 1","Industry","May 2011",2011-10-01,2011-10-01,NA,NA,"Multicentric","1"
"3125",3243,"No Results Available","All","Phase 1","Industry","November 29, 2016",2017-08-29,2017-08-29,NA,NA,"Multicentric","1"
"3126",3244,"No Results Available","All","Phase 1","Industry|Other","March 2010",2011-08-01,2012-05-01,NA,NA," United States","0"
"3127",3245,"No Results Available","All","Phase 1|Phase 2","Other","June 2015",2017-04-01,2017-04-01,NA,NA," Netherlands","0"
"3128",3246,"No Results Available","All","Phase 1","NIH","June 2010",2013-11-01,NA,NA,NA,"Multicentric","1"
"3129",3247,"No Results Available","All","Phase 1","Industry","September 2010",2013-02-01,2013-02-01,NA,NA,"Multicentric","1"
"3130",3248,"No Results Available","All","Phase 1","Industry","December 2010",2014-02-01,2016-03-01,NA,NA,"Multicentric","1"
"3131",3249,"Has Results","All","Phase 3","Industry|Other","December 9, 2008",2017-04-07,2017-04-07,2018-05-11,399," United States","0"
"3132",3250,"No Results Available","Female","Phase 2","Industry","January 2014",2017-02-13,2017-03-22,NA,NA,"Multicentric","1"
"3133",3251,"No Results Available","All","Phase 1","NIH|Other","September 2013",2016-04-28,2018-02-22,NA,NA," United States","0"
"3134",3252,"Has Results","All","Phase 1|Phase 2","Other","September 2012",2016-01-01,2016-01-01,2018-08-23,965," United States","0"
"3135",3253,"No Results Available","All","Phase 2","Other","November 2014",2016-03-01,2016-03-01,NA,NA," Belgium","0"
"3136",3255,"No Results Available","All","Phase 1","Industry","September 2011",2015-02-01,2015-02-01,NA,NA,"Multicentric","1"
"3137",3256,"No Results Available","All","Phase 1","Industry","May 2009",2010-05-01,2010-05-01,NA,NA,"Multicentric","1"
"3138",3258,"No Results Available","All","Phase 1","NIH|Other","September 2009",2014-10-01,2016-02-01,NA,NA," United States","0"
"3139",3259,"No Results Available","All","Phase 1","Industry","June 2011",2013-05-01,2013-05-01,NA,NA," Republic of","0"
"3140",3260,"Has Results","All","Phase 2","NIH","July 2, 2008",2012-04-26,2017-06-09,2016-03-28,1432,"Multicentric","1"
"3141",3261,"No Results Available","All","Phase 1","Industry","June 2008",2011-10-01,2011-10-01,NA,NA,"Multicentric","1"
"3142",3262,"No Results Available","All","Phase 1","Industry","February 2013",2016-09-01,2016-09-01,NA,NA,"Multicentric","1"
"3143",3263,"Has Results","All","Phase 2","Industry","February 2009",2012-07-01,2012-07-01,2018-10-16,2298,"Multicentric","1"
"3144",3264,"No Results Available","All","Phase 1","NIH","November 2009",2013-04-01,2014-09-01,NA,NA," United States","0"
"3145",3265,"No Results Available","All","Phase 1","Industry","March 2009",2010-11-01,2011-05-01,NA,NA,"Multicentric","1"
"3146",3266,"No Results Available","All","Phase 1","Industry","April 2009",2011-04-01,2011-06-01,NA,NA," United States","0"
"3147",3267,"No Results Available","All","Phase 1","Industry","October 2011",2012-12-01,2012-12-01,NA,NA,"Multicentric","1"
"3148",3269,"No Results Available","All","Phase 1","Industry|Other","November 2013",2017-04-01,2017-04-01,NA,NA," United States","0"
"3149",3270,"No Results Available","All","Phase 3","Other","January 2012",2016-08-01,2016-08-01,NA,NA," Netherlands","0"
"3150",3271,"Has Results","All","Phase 3","Other","June 2011",2015-03-01,2015-10-01,2017-01-27,698," China","0"
"3151",3273,"No Results Available","All","Phase 1","Industry","May 2008",2011-12-01,2012-01-01,NA,NA,"Multicentric","1"
"3152",3274,"Has Results","All","Phase 2","Other","February 2011",2014-02-01,2015-02-01,2015-05-21,474,"Multicentric","1"
"3153",3275,"No Results Available","All","Phase 1","Industry","September 2009",2014-09-01,2014-09-01,NA,NA,"Multicentric","1"
"3154",3276,"No Results Available","All","Phase 1","Industry","September 2014",2015-10-01,2017-06-01,NA,NA," China","0"
"3155",3277,"No Results Available","All","Phase 1","Industry","January 2011",2013-10-01,2013-10-01,NA,NA,"Multicentric","1"
"3156",3278,"No Results Available","All","Phase 3","Industry","February 2010",2013-03-01,2013-03-01,NA,NA,"Multicentric","1"
"3157",3279,"No Results Available","All","Phase 1","Industry","March 2010",2013-09-01,2013-09-01,NA,NA,"Multicentric","1"
"3158",3280,"No Results Available","All","Phase 1","Industry","January 2010",2015-04-01,2015-04-01,NA,NA,"Multicentric","1"
"3159",3281,"No Results Available","All","Phase 1","Industry","September 2011",2012-12-01,2012-12-01,NA,NA," China","0"
"3160",3282,"No Results Available","All","Phase 1","NIH|Other","October 2011",2015-01-01,2015-09-01,NA,NA," United States","0"
"3161",3283,"No Results Available","All","Phase 1|Phase 2","Industry|NIH","September 2010",2014-12-01,2014-12-01,NA,NA," United States","0"
"3162",3285,"Has Results","All","Phase 3","Industry","February 2009",2010-03-01,2011-12-01,2012-05-24,815,"Multicentric","1"
"3163",3286,"Has Results","All","Phase 2","Industry|Other","June 2010",2014-12-01,2015-07-01,2016-04-15,501,"Multicentric","1"
"3164",3287,"No Results Available","All","Phase 3","Industry","December 2008",2011-04-01,2011-04-01,NA,NA,"Multicentric","1"
